description,label,urgency
Suspicious transaction made using my bank details.,Financial Fraud,High
Being harassed online by a bully.,Cyberbullying,Medium
My account was hacked and inappropriate content was posted.,Social Media Account Hacked,Medium
Suspicious transaction made using my bank details.,Financial Fraud,High
Phishing scam targeted my online account.,Phishing,Low
My account was hacked and inappropriate content was posted.,Social Media Account Hacked,Medium
My computer is infected with a virus.,Malware,Low
Someone used my personal information to open a new credit account.,Identity Theft,High
Online seller disappeared after taking my payment.,Online Shopping Scam,Medium
Received a ransomware email demanding payment in Bitcoin.,Ransomware,High
Online shopping scam tricked me into paying.,Online Shopping Scam,Medium
Online shopping scam tricked me into paying.,Online Shopping Scam,Medium
My Twitter account was compromised and used to send out fake messages.,Social Media Account Hacked,Medium
Social engineering attack led to data breach.,Social Engineering,Medium
Suspicious software was downloaded onto my device.,Malware,Low
Received threatening messages from an anonymous account.,Cyberbullying,Medium
A ransom note appeared on my computer screen.,Ransomware,High
Online seller disappeared after taking my payment.,Online Shopping Scam,Medium
Email scam tried to steal my personal information.,Phishing,Low
Phone scam tried to trick me into revealing sensitive information.,Vishing,Medium
Threatened to leak personal photos unless I pay.,Blackmailing,High
Suspicious software was downloaded onto my device.,Malware,Low
Vishing attempt tried to steal my identity over the phone.,Vishing,Medium
My account was hacked and inappropriate content was posted.,Social Media Account Hacked,Medium
My files were corrupted by malware.,Malware,Low
Blackmailer demands money to keep my secrets safe.,Blackmailing,High
Someone is impersonating me online.,Identity Theft,High
My Facebook account was hacked and used to send spam.,Social Media Account Hacked,Medium
My account was hacked and inappropriate content was posted.,Social Media Account Hacked,Medium
Fraudulent charges made using my identity.,Identity Theft,High
Files on my computer are encrypted and inaccessible.,Ransomware,High
Someone is impersonating me online.,Identity Theft,High
Scammer called me pretending to be tech support.,Vishing,Medium
Fake online store charged me but didn't deliver.,Online Shopping Scam,Medium
Suspicious transaction made using my bank details.,Financial Fraud,High
Fake website mimicking my bank's login page.,Phishing,Low
My Twitter account was compromised and used to send out fake messages.,Social Media Account Hacked,Medium
My Facebook account was hacked and used to send spam.,Social Media Account Hacked,Medium
Received a blackmail letter demanding payment.,Blackmailing,High
Social engineering tricked me into sharing my password.,Social Engineering,Medium
Phony call convinced me to reveal sensitive data.,Social Engineering,Medium
Social engineering tricked me into sharing my password.,Social Engineering,Medium
Online shopping scam tricked me into paying.,Online Shopping Scam,Medium
Someone used my personal information to open a new credit account.,Identity Theft,High
Suspicious transaction made using my bank details.,Financial Fraud,High
Paid for an item online but never received it.,Online Shopping Scam,Medium
Fake online store charged me but didn't deliver.,Online Shopping Scam,Medium
Vishing call asked for my credit card number.,Vishing,Medium
Antivirus detected multiple malware threats.,Malware,Low
Received a call claiming to be from my bank asking for personal details.,Vishing,Medium
Scammer called me pretending to be tech support.,Vishing,Medium
My files were corrupted by malware.,Malware,Low
Someone tried to access my bank account online.,Financial Fraud,High
My computer is infected with a virus.,Malware,Low
"Phishing link in an email almost tricked me into giving my password.",Phishing,Low
Ransomware attack has disabled my system.,Ransomware,High
Received threatening messages from an anonymous account.,Cyberbullying,Medium
Lost access to my social media account.,Social Media Account Hacked,Medium
Fake online store charged me but didn't deliver.,Online Shopping Scam,Medium
"Phishing link in an email almost tricked me into giving my password.",Phishing,Low
Malware attack has slowed down my system.,Malware,Low
Received a ransomware email demanding payment in Bitcoin.,Ransomware,High
Social engineering tricked me into sharing my password.,Social Engineering,Medium
Received threatening messages from an anonymous account.,Cyberbullying,Medium
Blackmailer demands money to keep my secrets safe.,Blackmailing,High
Unauthorized transaction detected in my bank account.,Financial Fraud,High
Unauthorized access to my Instagram account detected.,Social Media Account Hacked,Medium
My identity was stolen to apply for a loan.,Identity Theft,High
Blackmailer demands money to keep my secrets safe.,Blackmailing,High
Being harassed online by a bully.,Cyberbullying,Medium
Lost access to my social media account.,Social Media Account Hacked,Medium
My identity was stolen to apply for a loan.,Identity Theft,High
Lost access to my social media account.,Social Media Account Hacked,Medium
My computer is infected with a virus.,Malware,Low
Paid for an item online but never received it.,Online Shopping Scam,Medium
Online harassment has become unbearable.,Cyberbullying,Medium
Lost access to my social media account.,Social Media Account Hacked,Medium
My account was hacked and inappropriate content was posted.,Social Media Account Hacked,Medium
Fraudulent charges made using my identity.,Identity Theft,High
Identity theft has affected my credit score.,Identity Theft,High
Unauthorized transaction detected in my bank account.,Financial Fraud,High
Blackmail attempt made through anonymous emails.,Blackmailing,High
Fake online store charged me but didn't deliver.,Online Shopping Scam,Medium
Suspicious transaction made using my bank details.,Financial Fraud,High
Received a phishing email asking for my login credentials.,Phishing,Low
My credit card was charged without my permission.,Financial Fraud,High
Phishing scam targeted my online account.,Phishing,Low
Unauthorized access to my Instagram account detected.,Social Media Account Hacked,Medium
My computer is locked and a ransom is being demanded.,Ransomware,High
Malware attack has slowed down my system.,Malware,Low
Email scam tried to steal my personal information.,Phishing,Low
Email scam tried to steal my personal information.,Phishing,Low
Fake online store charged me but didn't deliver.,Online Shopping Scam,Medium
Vishing call asked for my credit card number.,Vishing,Medium
Online seller disappeared after taking my payment.,Online Shopping Scam,Medium
My account was hacked and inappropriate content was posted.,Social Media Account Hacked,Medium
My Twitter account was compromised and used to send out fake messages.,Social Media Account Hacked,Medium
My Twitter account was compromised and used to send out fake messages.,Social Media Account Hacked,Medium
Fake online store charged me but didn't deliver.,Online Shopping Scam,Medium
My Facebook account was hacked and used to send spam.,Social Media Account Hacked,Medium
A ransom note appeared on my computer screen.,Ransomware,High
Blackmailer demands money to keep my secrets safe.,Blackmailing,High
Online seller disappeared after taking my payment.,Online Shopping Scam,Medium
A ransom note appeared on my computer screen.,Ransomware,High
Paid for an item online but never received it.,Online Shopping Scam,Medium
My computer is infected with a virus.,Malware,Low
My Facebook account was hacked and used to send spam.,Social Media Account Hacked,Medium
My computer is locked and a ransom is being demanded.,Ransomware,High
Suspicious transaction made using my bank details.,Financial Fraud,High
Blackmail attempt made through anonymous emails.,Blackmailing,High
Received a call asking for my OTP for a bank transaction.,Financial Fraud,High
My identity was stolen to apply for a loan.,Identity Theft,High
