description,label,urgency
"My ex is posting my private photos on Twitter without my consent and sharing them with my family. I'm so scared.",Blackmailing,High
"Received a scary email with an old password of mine in the subject line, demanding I pay bitcoin or they'll release a 'compromising video' of me.",Blackmailing,High
"Someone is threatening to tell my boss about my past unless I send them $500 through Zelle.",Blackmailing,High
"Extortionist claims they have my search history and will send it to all my contacts if I don't pay up.",Blackmailing,High
"I was getting harassed online, just mean comments, but now they posted my home address in the forum.",Cyberbullying,Medium
"A group of people from my school keep making fake profiles of me and posting embarrassing lies. It's affecting my mental health.",Cyberbullying,Low
"Just constant mean messages from an anonymous account on Instagram. I block them and they make a new one.",Cyberbullying,Low
"I saw a charge on my credit card for $250 from a company I've never heard of. I've already called my bank to dispute it.",Financial Fraud,Medium
"My bank account was completely drained overnight. I checked my balance and it's zero, I don't know what to do.",Financial Fraud,High
"Someone intercepted a check I mailed, changed the name and the amount, and cashed it.",Financial Fraud,High
"I got a call from my 'bank's fraud department' saying there was an issue and I needed to transfer my money to a 'safe' account. I did it, and now the money is gone.",Vishing,High
"A new credit card from Capital One showed up at my house, but I never applied for it. I think someone used my social security number.",Identity Theft,High
"I got a notice from a debt collector about a hospital bill in another state for a hospital I've never been to.",Identity Theft,Medium
"My credit score dropped 100 points because someone took out a car loan in my name.",Identity Theft,High
"My laptop has been running really slow and weird pop-ups keep appearing, even when I'm not on the internet.",Malware,Medium
"My antivirus software just alerted me that it quarantined a trojan horse. My PC seems okay now but I'm worried.",Malware,Low
"I downloaded a 'free' video editor and now my browser homepage is changed and I'm getting a million ads.",Malware,Low
"I tried to buy a PS5 from a website that looked legitimate. I sent the payment, they sent a fake tracking number, and now the site is gone.",Online Shopping Scam,Low
"The item I received from an online ad was a cheap, broken knockoff. The seller won't respond to my emails.",Online Shopping Scam,Low
"I paid for concert tickets on Facebook Marketplace, and the seller blocked me right after I sent the money.",Online Shopping Scam,Low
"I got an email that looked like it was from Netflix, saying my account was suspended. I clicked the link and entered my login and credit card info on a page that looked real.",Phishing,High
"My mom got a text message (smishing) that said there was a problem with her package delivery and to click a link to reschedule. It asked for her address and personal info.",Phishing,Medium
"My work email got a message from 'IT' asking everyone to migrate to a new mail server by clicking a link and entering their credentials. I think it was a scam.",Phishing,Medium
"My entire server is encrypted and a file on the desktop called README.txt says I need to pay 0.5 BTC to a wallet to get the decryption key. My business is at a standstill.",Ransomware,High
"I can't open any of my photos or documents, they all have a weird .locked extension now. A popup is demanding money.",Ransomware,High
"My Facebook account was hacked. They changed the password and email so I can't get back in, and now it's posting spam links to all my friends.",Social Media Account Hacked,Medium
"Someone got into my Instagram and is sending DMs to my followers asking for money for a 'family emergency'. I'm still logged in but I can see the messages being sent.",Social Media Account Hacked,Medium
"I was tricked by a person on a dating app over several months into investing all my savings into a fake crypto platform. They've now disappeared with my money.",Social Engineering,High
"My boss supposedly emailed me asking me to buy $500 in Google Play gift cards for a client and send him the codes. I did it before realizing his email was spoofed.",Social Engineering,High
"A 'support agent' from Microsoft called me to say my computer was sending error signals. I gave him remote access and he showed me 'viruses' and asked for $300 to fix it.",Vishing,Medium
"Got a robocall claiming to be from the IRS saying there's a warrant for my arrest due to tax evasion and I need to call a number immediately.",Vishing,Low
"Received an email with my home address in it, saying I was recorded on an adult website and to pay up or the video gets sent to my family and friends.",Blackmailing,High
"The abuse online has escalated. After posting my address, someone has started ordering pizzas to my house and threatening to show up in person.",Cyberbullying,High
"My business partner sent me a wire transfer request, but I called him to confirm and he never sent it. Someone had hacked his email to impersonate him.",Financial Fraud,High
"I got an email from 'Amazon' about a $1000 TV I didn't order, with a number to call to cancel. I called and they tried to get me to install remote access software.",Vishing,Medium
"I keep getting notifications that someone is trying to log into my Apple ID from another country.",Identity Theft,Low
"My company's customer database was breached. All our client names, emails, and phone numbers were leaked. We're trying to figure out what to do now.",Social Engineering,High
"I ordered a specific brand of jacket online, but the seller sent a completely different, low-quality item and is refusing a refund.",Online Shopping Scam,Low
"Got an email from 'Paypal' with a link to resolve an account limitation. I hovered over the link and the URL looked very suspicious so I didn't click.",Phishing,Low
"All my files have been replaced by shortcuts, and my antivirus is going crazy. I think I have a serious virus.",Malware,Medium
"My computer is fine but I think my email was hacked because my friend told me she received a strange spam message from me.",Social Media Account Hacked,Low
"Someone created a fake GoFundMe page using my sister's photo and story to fraudulently solicit donations.",Identity Theft,Medium
"I was a victim of a romance scam. I thought I was in a relationship with someone for months but they just kept asking for money for various emergencies.",Social Engineering,Medium
"A person on the phone claimed they were from my utility company and that my power would be shut off in 30 minutes if I didn't pay an overdue bill with a gift card.",Vishing,High
"Threatening to post edited, embarrassing photos of me if I don't stop talking to a certain person.",Blackmailing,Medium
"The online bullying is just wearing me down. It's not a direct threat but it's constant and cruel.",Cyberbullying,Low
"My bank called to confirm if I made a $2,000 purchase in another country. I told them no and they froze my card.",Financial Fraud,Medium
"Someone gained access to our internal server after an employee clicked on a malicious link in an invoice email.",Phishing,High
"My gaming account, with hundreds of dollars in purchased items, was stolen. The email and password were changed.",Social Media Account Hacked,Medium
"I fell for one of those 'secret shopper' scams. They sent me a large check, told me to deposit it, and wire a portion of it to someone else. The original check bounced and now I'm out the money I wired.",Financial Fraud,High
"My child is being relentlessly bullied in a group chat for a game they play online. They're afraid to go online now.",Cyberbullying,Low
"I keep getting password reset requests for my accounts that I didn't initiate.",Identity Theft,Low
"A site that looks exactly like my bank's login page showed up in a google search result. I almost entered my password.",Phishing,Low
"I can't access my small business's network drives. A message on the screen says we've been hit by 'Ryuk' ransomware.",Ransomware,High
"An unknown person is sending messages to my colleagues from a fake email address that looks like mine, trying to get them to share project files.",Social Engineering,Medium
"I was selling an item on Craigslist and the 'buyer' sent me a check for way more than the asking price and asked me to wire back the difference.",Financial Fraud,Medium
"My phone is acting weird after I installed an app from outside the official app store. The battery is draining fast and it's overheating.",Malware,Medium
"An old classmate is posting embarrassing photos from my past on Instagram and tagging my employer.",Blackmailing,Medium
"I received a text message with a link to a video, supposedly of me. The message says I need to pay $1000 in bitcoin or the video goes to my family.",Blackmailing,High
"Someone found my private journal and is threatening to publish excerpts of it online unless I do what they say.",Blackmailing,High
"My ex is threatening to send explicit photos we took together to my new partner if I don't talk to them.",Blackmailing,High
"A user on a gaming forum is threatening to DDOS my internet connection and leak my IP address because I beat them in a match.",Blackmailing,High
"I'm being blackmailed with information about a past mistake. They demand payment to keep it quiet.",Blackmailing,High
"Someone is claiming to have hacked my webcam and recorded me. They're demanding money to destroy the footage.",Blackmailing,High
"I'm getting threatening DMs on Twitter, saying they know where I live and are watching me.",Blackmailing,High
"An extortionist emailed me saying they have proof of me cheating and will tell my spouse if I don't pay.",Blackmailing,High
"A coworker is threatening to report me for a minor policy violation unless I cover their shifts for them.",Blackmailing,Medium
"My daughter is being excluded and ridiculed in a class group chat. It's constant and she is very upset.",Cyberbullying,Low
"A group of anonymous accounts are coordinating to leave hateful and false reviews on my small business's Yelp page.",Cyberbullying,Medium
"Someone keeps making fun of my appearance in the comments of my public photos. I've blocked them but they make new accounts.",Cyberbullying,Low
"I'm being targeted in a subreddit where users are posting my social media info and encouraging others to harass me.",Cyberbullying,Medium
"After a political disagreement online, a person has been sending me dozens of hateful messages a day and encouraging their followers to do the same.",Cyberbullying,Medium
"There's a fake profile of me on Facebook being used to say horrible things to my friends and family.",Cyberbullying,Medium
"A person online is spreading lies about my professional conduct to try and get me fired.",Cyberbullying,Medium
"My child is being cyberbullied by classmates who are sending cruel memes and messages.",Cyberbullying,Low
"The online harassment has become unbearable. It's not a direct threat but it's constant and cruel.",Cyberbullying,Low
"Someone is repeatedly leaving offensive comments on my blog posts under different names.",Cyberbullying,Low
"I saw a charge on my credit card statement for a subscription service I never signed up for.",Financial Fraud,Medium
"My bank account was completely drained overnight. I checked my balance and it's zero, I don't know what to do.",Financial Fraud,High
"I fell for a 'secret shopper' scam. They sent me a large check, told me to deposit it, and wire a portion of it. The original check bounced.",Financial Fraud,High
"Someone used my debit card number to make a bunch of online purchases. I've already called my bank.",Financial Fraud,High
